haulid,lengthclass,sppLatin,numlengthclass,year,latitudestart,longitudestart
p05950283324,smalljuv,balistes capriscus,0,1995,31.42,-80.36
p05950291324,adult,balistes capriscus,0,1995,31.42,-80.37
p05950291324,largejuv,balistes capriscus,1,1995,31.42,-80.37
p05950291324,smalljuv,balistes capriscus,0,1995,31.42,-80.37
p05950296324,adult,balistes capriscus,0,1995,31.43,-80.36
p05950296324,largejuv,balistes capriscus,1,1995,31.43,-80.36
p05950296324,smalljuv,balistes capriscus,0,1995,31.43,-80.36
p05950300324,adult,balistes capriscus,6,1995,31.44,-80.34
p05950300324,largejuv,balistes capriscus,1,1995,31.44,-80.34
p05950300324,smalljuv,balistes capriscus,0,1995,31.44,-80.34
p05950407324,adult,balistes capriscus,0,1995,32.25,-79.7
p05950407324,largejuv,balistes capriscus,1,1995,32.25,-79.7
p05950407324,smalljuv,balistes capriscus,0,1995,32.25,-79.7
p05960337324,adult,balistes capriscus,4,1996,32.28,-79.72
p05960337324,largejuv,balistes capriscus,1,1996,32.28,-79.72
p05960337324,smalljuv,balistes capriscus,0,1996,32.28,-79.72
p05960382324,adult,balistes capriscus,1,1996,31.68,-80.32
p05960382324,largejuv,balistes capriscus,2,1996,31.68,-80.32
p05960382324,smalljuv,balistes capriscus,0,1996,31.68,-80.32
p05960487324,adult,balistes capriscus,0,1996,33.28,-78.44
p05960487324,largejuv,balistes capriscus,1,1996,33.28,-78.44
p05960487324,smalljuv,balistes capriscus,0,1996,33.28,-78.44
p05960493324,adult,balistes capriscus,9,1996,32.79,-78.78
p05960493324,largejuv,balistes capriscus,1,1996,32.79,-78.78
p05960493324,smalljuv,balistes capriscus,0,1996,32.79,-78.78
p05960522324,adult,balistes capriscus,2,1996,32.6,-79.22
p05960522324,largejuv,balistes capriscus,1,1996,32.6,-79.22
p05960522324,smalljuv,balistes capriscus,0,1996,32.6,-79.22
p05960537324,adult,balistes capriscus,3,1996,32.34,-79.21
p05960537324,largejuv,balistes capriscus,2,1996,32.34,-79.21
